Numéro;Nom;Type1;Type2;PV;Force;Défense;Vitesse;Spécial;Total
55;Akwakwak;eau;;80;82;78;85;80;405
56;Férosinge;combat;;40;80;35;70;35;260
57;Colossinge;combat;;65;105;60;95;60;385
58;Caninos;feu;;55;70;45;60;50;280
59;Arcanin;feu;;90;110;80;95;80;455
60;Ptitard;eau;;40;50;40;90;40;260
61;Têtarte;eau;;65;65;65;90;50;335
62;Tartard;eau;combat;90;85;95;70;70;420
63;Abra;psy;;25;20;15;90;105;255
64;Kadabra;psy;;40;35;30;105;120;330
65;Alakazam;psy;;55;50;45;120;135;405
66;Machoc;combat;;70;80;50;35;35;270
67;Machopeur;combat;;80;100;70;45;50;345
68;Mackogneur;combat;;90;130;80;55;65;420
69;Chétiflor;plante;poison;50;75;35;40;70;270
70;Boustiflor;plante;poison;65;90;50;55;85;345
71;Empiflor;plante;poison;80;105;65;70;100;420
72;Tentacool;eau;poison;40;40;35;70;100;285
73;Tentacruel;eau;poison;80;70;65;100;120;435
74;Racaillou;roche;sol;40;80;100;20;30;270
75;Gravalanch;roche;sol;55;95;115;35;45;345
76;Grolem;roche;sol;80;110;130;45;55;420
77;Ponyta;feu;;50;85;55;90;65;345
78;Galopa;feu;;65;100;70;105;80;420
79;Ramoloss;eau;psy;90;65;65;15;40;275
80;Flagadoss;eau;psy;95;75;110;30;80;390
81;Magnéti;electrik;;25;35;70;45;95;270
82;Magnéton;electrik;;50;60;95;70;120;395
83;Canarticho;normal;vol;52;65;55;60;58;315
84;Doduo;normal;vol;35;85;45;75;35;275
85;Dodrio;normal;vol;60;110;70;100;60;400
86;Otaria;eau;;65;45;55;45;70;280
87;Lamantine;eau;glace;90;70;80;70;95;405
88;Tadmorv;poison;;80;80;50;25;40;275
89;Grotadmorv;poison;;105;105;75;50;65;400
90;Kokiyas;eau;;30;65;100;40;45;280
91;Crustabri;eau;glace;50;95;180;70;85;480
92;Fantominus;spectre;poison;30;35;30;80;100;275
93;Spectrum;spectre;poison;45;50;45;95;115;350
94;Ectoplasma;spectre;poison;60;65;60;110;130;425
95;Onix;roche;sol;35;45;160;70;30;340
96;Soporifik;psy;;60;48;45;42;90;285
97;Hypnomade;psy;;85;73;70;67;115;410
98;Krabby;eau;;30;105;90;50;25;300
99;Krabboss;eau;;55;130;115;75;50;425
100;Voltorbe;electrik;;40;30;50;100;55;275
101;Électrode;electrik;;60;50;70;140;80;400
102;Noeunoeuf;plante;psy;60;40;80;40;60;280
103;Noadkoko;plante;psy;95;95;85;55;125;455
104;Osselait;sol;;50;50;95;35;40;270
105;Ossatueur;sol;;60;80;110;45;50;345
106;Kicklee;combat;;50;120;53;87;35;345
107;Tygnon;combat;;50;105;79;76;35;345
108;Excelangue;normal;;90;55;75;30;60;310
109;Smogo;poison;;40;65;95;35;60;295
110;Smogogo;poison;;65;90;120;60;85;420
111;Rhinocorne;sol;roche;80;85;95;25;30;315
112;Rhinoféros;sol;roche;105;130;120;40;45;440
113;Leveinard;normal;;250;5;5;50;105;415
114;Saquedeneu;plante;;65;55;115;60;100;395
115;Kangourex;normal;;105;95;80;90;40;410
116;Hypotrempe;eau;;30;40;70;60;70;270
117;Hypocéan;eau;;55;65;95;85;95;395
118;Poissirène;eau;;45;67;60;63;50;285
119;Poissoroy;eau;;80;92;65;68;80;385
120;Stari;eau;;30;45;55;85;70;285
121;Staross;eau;psy;60;75;85;115;100;435
122;M. Mime;psy;;40;45;65;90;100;340
123;Insécateur;insecte;vol;70;110;80;105;55;420
124;Lippoutou;glace;psy;65;50;35;95;95;340
125;Élektek;electrik;;65;83;57;105;85;395
126;Magmar;feu;;65;95;57;93;85;395
127;Scarabrute;insecte;;65;125;100;85;55;430
128;Tauros;normal;;75;100;95;110;70;450
129;Magicarpe;eau;;20;10;55;80;20;185
130;Léviator;eau;vol;95;125;79;81;100;480
131;Lokhlass;eau;glace;130;85;80;60;95;450
132;Métamorph;normal;;48;48;48;48;48;240
133;Évoli;normal;;55;55;50;55;65;280
134;Aquali;eau;;130;65;60;65;110;430
135;Voltali;electrik;;65;65;60;130;110;430
136;Pyroli;feu;;65;130;60;65;110;430
137;Porygon;normal;;65;60;70;40;75;310
138;Amonita;roche;eau;35;40;100;35;90;300
139;Amonistar;roche;eau;70;60;125;55;115;425
140;Kabuto;roche;eau;30;80;90;55;45;300
141;Kabutops;roche;eau;60;115;105;80;70;430
142;Ptéra;roche;vol;80;105;65;130;60;440
143;Ronflex;normal;;160;110;65;30;65;430
144;Artikodin;glace;vol;90;85;100;85;125;485
145;Électhor;electrik;vol;90;90;85;100;125;490
146;Sulfura;feu;vol;90;100;90;90;125;495
147;Minidraco;dragon;;41;64;45;50;50;250
148;Draco;dragon;;61;84;65;70;70;350
149;Dracolosse;dragon;vol;91;134;95;80;100;500
150;Mewtwo;psy;;106;110;90;130;154;590
151;Mew;psy;;100;100;100;100;100;500
